5t	squirted,squirting,squirts
1tab	stabbed,stabbing,stabs
4ility	stabilities
7ze	stabilized,stabilizes,stabilizing
4le	@5gp,@9s0,@9s1,stabled,stables,stabling,@axb
3ck	stacked,stacking,stacks
3dium	stadia
3ff	@1by,staffed,staffing,staffs
3ge	staged,stages,staging
5coach	stagecoaches
4ger	staggered,@9sa,staggers
7ing	@51t,@9s9
3id	staider
4n	@9sf,staining,@9sg,stains
5ed	dp,@9se
4rcase	staircases
5s	s,@9sh
5way	stairways
3ke	staked,stakes,staking
3le	staled,staler,stales,stalest,staling
5mate	stalemated,stalemates,stalemating
4k	stalked,stalking,stalks
4l	stalled,stalling,stalls
4wart	stalwarts
3mina	staminas
4mer	stammered,stammering,stammers
4p	stamped,stamping,stamps
3nce	stances
5h	stanched,stanches,stanching
4d	@9t1,stands,stood
5ard	@9sy,@9sz,@9t0
8ize	@9sz,standardizes,standardizing
bd	dp
8s	s,@9sx
5ing	@51t,@9sw,standings
5point	standpoints
5still	standstills
4za	stanzas
3ple	stapled,staples,stapling
3r	@9ta,starred,starring,stars
4ch	starched,starches,starching,@9t9
4dom	@9t6
4e	stared,stares,staring
4fish	starfished,starfishes
4t	started,@9tf,@9tg,starts
5er	starters
5ing	@51t,@9te,startings
5le	startled,startles,@9ti
6ing	@51t,@9th
4vation	starvations
5e	@9tj,starved,starves,starving
3sh	stashed,stashes,stashing
3te	stated,@9to,@9tp,@9tq,stating
5ly	statelier
5ment	statements
5s	s3,@9tn
6man	@2v6,statesmen
4ic	statics
5on	stationed,stationing,@9tw
7s	s3,@9tt
4ue	@3za,@9tz,statues
5te	statutes,@9u4
3y	stayed,staying,stays
2eady	steadied,steadier,steadies,steadiest,@9u7,steadying
4k	steaks
4l	stealing,steals,stole,stolen
4m	steamed,@9ud,steaming,steams
5er	steamers
3el	steeled,steeling,steels
4p	steeped,steeper,steepest,steeping,steeps
5le	steepled,steeples,steepling
4r	steered,@9ui,steers
5ing	@51t,@9uh
3m	stemmed,stemming,stems
3nch	stenches
5il	stencilled,stencilling,stencils
3p	stepped,stepping,@9up
4s	s3,@9uo
3reo	stereos
6type	@9ut,stereotypes,stereotyping
ad	pd
4ile	@9uv
6ize	sterilized,sterilizes,sterilizing
4ling	sterlings
4n	sterns
3thoscope	stethoscopes
3w	stewed,stewing,stews
4ard	stewarded,@9v1,stewarding,stewards
7ess	stewardesses
2ick	sticking,sticks,stuck
5ler	sticklers
5y	stickied,stickier,stickies,stickiest
3ff	@9v7,stiffer,stiffest,@9v8,stiffs
5en	stiffened,stiffening,stiffens
5ness	stiffnesses
4le	stifled,stifles,stifling
3gma	stigmas
6tize	stigmatized,stigmatizes,stigmatizing
3ll	stilled,stilling,@9vd,stills
5ness	stillnesses
4t	@9vf,stilts
5ed	pd,@9ve
3mulant	stimulants
7te	stimulated,stimulates,stimulating,@9vi
8ion	stimulations
6i	s,@9vk
6us	@9vj
3ng	stinging,stings,stung
5y	@9vm
4t	stinted,stinting,stints,@axc
3pend	stipends
4ple	stippled,stipples,stippling
4ulate	stipulated,stipulates,stipulating,@9vs
8ion	stipulations
3r	stirred,stirring,stirs
3tch	stitched,stitches,stitching
2ock	stocked,@9vy,stocks
5ade	stockaded,stockades,stockading
5holder	stockholders
5ing	@51t,@9vv,stockings
5y	stockier
3ic	stoics
3ke	stoked,stokes,stoking
3mach	stomached,stomaches,stomaching,stomachs
3ne	stoned,@9w8,stoning,@9wa
5mason	stonemasons
5s	s3,@9w6
5wall	stonewalled,stonewalling,stonewalls
4y	stonier
3ol	stooled,stooling,stools
4p	stooped,stooping,stoops
3p	stopped,stopping,stops
3rage	storages
4e	@9wf,stored,@9wi,storing
5house	storehouses
